timestamp,packet_id,temperature,humidity,gas,alert,temp_alert,gas_alert,buzzer,buzzer_manual,alert_cause
2026-06-03T00:59:02.419299,178,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:04.635672,179,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:06.765807,180,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:08.915329,181,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:11.078407,182,28.0,34,179,0,0,0,0,1,none
2026-06-03T00:59:13.284601,183,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:15.429713,184,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:17.606876,185,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:19.723673,186,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:21.889170,187,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:24.078851,188,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:26.220563,189,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:28.448341,190,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:30.590063,191,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:32.739613,192,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:34.873286,193,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:37.046367,194,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:39.258318,195,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:41.392228,196,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:43.565114,197,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:45.699092,198,28.0,34,177,0,0,0,0,1,none
2026-06-03T00:59:47.872200,199,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:50.083979,200,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:52.202255,201,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:54.383712,202,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:56.540514,203,28.0,34,178,0,0,0,0,1,none
2026-06-03T00:59:58.705543,204,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:00.880192,205,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:03.016127,206,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:05.232240,207,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:07.320220,208,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:09.560755,209,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:11.693774,210,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:13.857833,211,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:15.990532,212,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:18.148573,213,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:00:20.334799,214,28.0,34,231,0,0,0,0,1,none
2026-06-03T01:00:22.482876,215,28.0,34,406,0,0,0,0,1,none
2026-06-03T01:00:24.631444,216,28.0,34,443,0,0,0,0,1,none
2026-06-03T01:00:26.793969,217,28.0,34,464,0,0,0,0,1,none
2026-06-03T01:00:28.958752,218,28.0,34,473,0,0,0,0,1,none
2026-06-03T01:00:31.154471,219,28.0,34,509,1,0,1,0,1,gas
2026-06-03T01:00:33.342451,220,28.0,34,460,0,0,0,0,1,none
2026-06-03T01:00:35.490863,221,28.0,34,436,0,0,0,0,1,none
2026-06-03T01:00:37.638132,222,28.0,34,433,0,0,0,0,1,none
2026-06-03T01:00:39.803109,223,28.0,34,488,0,0,0,0,1,none
2026-06-03T01:00:41.941531,224,28.0,34,475,0,0,0,0,1,none
2026-06-03T01:00:44.162305,225,28.0,34,479,0,0,0,0,1,none
2026-06-03T01:00:46.269634,226,28.0,34,499,0,0,0,0,1,none
