timestamp,packet_id,temperature,humidity,gas,alert,alert_cause
2026-06-03T00:55:36.888909,83,28.0,34,178,0,none
2026-06-03T00:55:39.037376,84,28.0,34,178,0,none
2026-06-03T00:55:41.186825,85,28.0,34,178,0,none
2026-06-03T00:55:43.365501,86,28.0,34,178,0,none
2026-06-03T00:55:45.529430,87,28.0,34,178,0,none
2026-06-03T00:55:47.654635,88,28.0,34,178,0,none
2026-06-03T00:55:49.862098,89,28.0,34,178,0,none
2026-06-03T00:55:51.974782,90,28.0,34,178,0,none
2026-06-03T00:55:54.137177,91,28.0,34,178,0,none
2026-06-03T00:55:56.326658,92,28.0,34,178,0,none
2026-06-03T00:55:58.474954,93,28.0,34,178,0,none
2026-06-03T00:56:00.650999,94,28.0,34,178,0,none
2026-06-03T00:56:02.787281,95,28.0,34,178,0,none
2026-06-03T00:56:04.986732,96,28.0,34,178,0,none
2026-06-03T00:56:07.171399,97,28.0,34,178,0,none
2026-06-03T00:56:09.295792,98,28.0,34,178,0,none
2026-06-03T00:56:11.607814,99,28.0,34,177,0,none
2026-06-03T00:56:13.632890,100,28.0,34,178,0,none
2026-06-03T00:56:15.827716,101,28.0,34,177,0,none
2026-06-03T00:56:17.961125,102,28.0,34,177,0,none
2026-06-03T00:56:20.131185,103,28.0,34,177,0,none
2026-06-03T00:56:22.280123,104,28.0,34,177,0,none
2026-06-03T00:56:24.433928,105,28.0,34,177,0,none
2026-06-03T00:56:26.647663,106,28.0,34,177,0,none
2026-06-03T00:56:28.773496,107,28.0,34,177,0,none
2026-06-03T00:56:30.920313,108,28.0,34,177,0,none
2026-06-03T00:56:33.131847,109,28.0,34,177,0,none
2026-06-03T00:56:35.295644,110,28.0,34,177,0,none
2026-06-03T00:56:37.404752,111,28.0,34,177,0,none
2026-06-03T00:56:39.584344,112,28.0,34,177,0,none
2026-06-03T00:56:41.756348,113,28.0,34,177,0,none
2026-06-03T00:56:43.921577,114,28.0,34,177,0,none
2026-06-03T00:56:46.063034,115,28.0,34,177,0,none
2026-06-03T00:56:48.282828,116,28.0,34,177,0,none
2026-06-03T00:56:50.409602,117,28.0,34,177,0,none
2026-06-03T00:56:52.574337,118,28.0,34,177,0,none
2026-06-03T00:56:54.708363,119,28.0,34,177,0,none
2026-06-03T00:56:56.935762,120,28.0,34,177,0,none
2026-06-03T00:56:59.039911,121,28.0,34,177,0,none
2026-06-03T00:57:01.273803,122,28.0,34,177,0,none
2026-06-03T00:57:03.439001,123,28.0,34,178,0,none
2026-06-03T00:57:05.549427,124,28.0,34,177,0,none
2026-06-03T00:57:07.761332,125,28.0,34,177,0,none
2026-06-03T00:57:09.895911,126,28.0,34,177,0,none
2026-06-03T00:57:12.053917,127,28.0,34,177,0,none
2026-06-03T00:57:14.194281,128,28.0,34,177,0,none
2026-06-03T00:57:16.390502,129,28.0,34,177,0,none
2026-06-03T00:57:18.532207,130,28.0,34,177,0,none
2026-06-03T00:57:20.728982,131,28.0,34,177,0,none
2026-06-03T00:57:22.893809,132,28.0,34,177,0,none
2026-06-03T00:57:25.012193,133,28.0,34,177,0,none
2026-06-03T00:57:27.190870,134,28.0,34,177,0,none
2026-06-03T00:57:29.412793,135,28.0,34,177,0,none
2026-06-03T00:57:31.546633,136,28.0,34,178,0,none
2026-06-03T00:57:33.680476,137,28.0,34,178,0,none
2026-06-03T00:57:35.845520,138,28.0,34,178,0,none
2026-06-03T00:57:38.070027,139,28.0,34,178,0,none
2026-06-03T00:57:40.165988,140,28.0,34,178,0,none
2026-06-03T00:57:42.364307,141,28.0,34,178,0,none
2026-06-03T00:57:44.490434,142,28.0,34,178,0,none
2026-06-03T00:57:46.661412,143,28.0,34,178,0,none
2026-06-03T00:57:48.844234,144,28.0,34,178,0,none
2026-06-03T00:57:50.978186,145,28.0,34,178,0,none
2026-06-03T00:57:53.128122,146,28.0,34,178,0,none
2026-06-03T00:57:55.355282,147,28.0,34,178,0,none
2026-06-03T00:57:57.504985,148,28.0,34,178,0,none
2026-06-03T00:57:59.685640,149,28.0,34,178,0,none
2026-06-03T00:58:01.803878,150,28.0,34,178,0,none
2026-06-03T00:58:04.039376,151,28.0,34,178,0,none
2026-06-03T00:58:06.165565,152,28.0,34,178,0,none
2026-06-03T00:58:08.354009,153,28.0,34,178,0,none
2026-06-03T00:58:10.447648,154,28.0,34,178,0,none
2026-06-03T00:58:12.676371,155,28.0,34,178,0,none
2026-06-03T00:58:14.810153,156,28.0,34,178,0,none
2026-06-03T00:58:16.974496,157,28.0,34,178,0,none
2026-06-03T00:58:19.187344,158,28.0,34,178,0,none
2026-06-03T00:58:21.313448,159,28.0,34,178,0,none
2026-06-03T00:58:23.478455,160,28.0,34,178,0,none
2026-06-03T00:58:25.628035,161,28.0,34,178,0,none
2026-06-03T00:58:27.824483,162,28.0,34,178,0,none
2026-06-03T00:58:30.001582,163,28.0,34,178,0,none
2026-06-03T00:58:32.107824,164,28.0,34,178,0,none
2026-06-03T00:58:34.280705,165,28.0,34,178,0,none
2026-06-03T00:58:36.453906,166,28.0,34,178,0,none
2026-06-03T00:58:38.580011,167,28.0,34,178,0,none
2026-06-03T00:58:40.800106,168,28.0,34,178,0,none
2026-06-03T00:58:42.923585,169,28.0,34,178,0,none
2026-06-03T00:58:45.098716,170,28.0,34,178,0,none
2026-06-03T00:58:47.255990,171,28.0,34,178,0,none
2026-06-03T00:58:49.411254,172,28.0,34,178,0,none
